Date,Open,High,Low,Close,Volume
10/29/2025,"462.50","465.70","452.65","461.51","67,983,539"
10/28/2025,"454.78","467.00","451.60","460.55","80,185,672"
10/27/2025,"439.98","460.16","438.69","452.42","105,867,508"
10/24/2025,"446.83","451.68","430.17","433.72","94,727,766"
10/23/2025,"420.00","449.40","413.90","448.98","126,709,797"
10/22/2025,"443.45","445.54","429.00","438.97","84,023,453"
10/21/2025,"445.76","449.30","442.05","442.60","54,412,168"
10/20/2025,"443.87","449.80","440.61","447.43","63,718,969"
10/17/2025,"425.50","441.46","423.60","439.31","89,331,586"
10/16/2025,"434.73","439.35","421.31","428.75","77,189,891"
10/15/2025,"434.90","440.51","426.33","435.15","71,558,195"
10/14/2025,"426.79","434.20","417.86","429.24","72,669,438"
10/13/2025,"423.53","436.89","419.70","435.90","79,552,789"
10/10/2025,"436.54","443.13","411.45","413.49","112,107,906"
10/09/2025,"431.81","436.35","426.18","435.54","69,339,930"
10/08/2025,"437.57","441.33","425.23","438.69","71,192,125"
10/07/2025,"447.82","452.68","432.45","433.09","102,296,094"
10/06/2025,"440.75","453.55","436.69","453.25","85,324,883"
10/03/2025,"443.29","446.77","416.58","429.83","133,188,203"
10/02/2025,"470.54","470.75","435.57","436.00","137,008,984"
10/01/2025,"443.80","462.29","440.75","459.46","98,122,289"
09/30/2025,"441.52","445.00","433.12","444.72","74,357,961"
09/29/2025,"444.35","450.98","439.50","443.21","79,491,516"
